                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.2442,                0.87733,                 1.3119,                0.85649,                0.77113,                0.80748,                 0.4601,                 1.5676,                 0.9391,                 1.6407,             0.00078387,             0.00078387,             0.00078387
                    115,                 1.2723,                0.85043,                 1.2803,                0.88659,                0.73956,                0.80141,                0.46764,                 1.6018,                0.93771,                 1.6581,             0.00077975,             0.00077975,             0.00077975
                    116,                 1.2321,                0.82535,                 1.2786,                0.90149,                0.75337,                0.80954,                0.46451,                 1.5283,                0.93368,                 1.6043,             0.00077563,             0.00077563,             0.00077563
                    117,                 1.2213,                0.83053,                  1.258,                0.81533,                0.75125,                0.79627,                0.46101,                 1.5582,                0.89431,                 1.5985,              0.0007715,              0.0007715,              0.0007715
                    118,                 1.2528,                0.82642,                 1.2682,                0.79093,                0.78125,                 0.8035,                0.45495,                 1.5948,                0.99258,                 1.6446,             0.00076738,             0.00076738,             0.00076738
                    119,                 1.2375,                0.87274,                 1.2837,                0.81913,                0.73721,                0.79068,                0.45941,                 1.4979,                0.87798,                 1.5987,             0.00076325,             0.00076325,             0.00076325
                    120,                 1.2014,                0.80483,                 1.2496,                0.89739,                0.75622,                 0.8057,                0.46314,                 1.5252,                0.88604,                 1.5936,             0.00075912,             0.00075912,             0.00075912
                    121,                 1.2225,                0.82948,                 1.2984,                0.82685,                 0.7678,                0.80236,                 0.4741,                 1.5193,                0.93229,                 1.5887,               0.000755,               0.000755,               0.000755
                    122,                 1.2257,                0.82175,                 1.2655,                0.88475,                0.76738,                0.81626,                 0.4757,                 1.5396,                0.86609,                 1.6094,             0.00075088,             0.00075088,             0.00075088
                    123,                 1.2214,                0.82426,                 1.2741,                 0.7752,                0.76266,                0.79492,                0.46897,                 1.5385,                0.90155,                 1.5893,             0.00074675,             0.00074675,             0.00074675
                    124,                 1.2125,                0.80387,                 1.2443,                0.89258,                0.71342,                 0.8019,                0.46907,                 1.5071,                 0.8938,                 1.5966,             0.00074263,             0.00074263,             0.00074263
                    125,                 1.2203,                0.81194,                 1.2671,                0.87162,                0.78654,                0.81635,                0.47069,                 1.5575,                0.89678,                 1.6295,              0.0007385,              0.0007385,              0.0007385
                    126,                 1.1966,                0.81275,                 1.2645,                 0.9211,                0.73685,                0.83388,                0.47379,                 1.5457,                0.90186,                 1.6146,             0.00073437,             0.00073437,             0.00073437
                    127,                 1.1761,                0.78108,                 1.2326,                 0.8978,                0.74342,                0.82408,                0.46304,                 1.5768,                0.89871,                 1.6377,             0.00073025,             0.00073025,             0.00073025
                    128,                  1.197,                0.81962,                 1.2703,                0.90547,                 0.7725,                0.83421,                0.48525,                  1.552,                0.84567,                 1.6227,             0.00072612,             0.00072612,             0.00072612
                    129,                 1.1843,                0.79924,                 1.2282,                0.87547,                0.72691,                0.83062,                0.48855,                 1.5133,                0.88007,                 1.5833,               0.000722,               0.000722,               0.000722
                    130,                 1.2181,                0.80413,                 1.2746,                0.86665,                0.74802,                0.82158,                0.46301,                 1.5603,                0.87535,                 1.6188,             0.00071788,             0.00071788,             0.00071788
                    131,                  1.209,                0.81488,                 1.2645,                0.88059,                0.74291,                0.83794,                0.48858,                  1.505,                0.86839,                 1.5959,             0.00071375,             0.00071375,             0.00071375
                    132,                 1.1948,                0.78603,                 1.2647,                0.86037,                0.77828,                0.83392,                0.47783,                 1.5295,                0.89885,                 1.6109,             0.00070962,             0.00070962,             0.00070962
                    133,                 1.1596,                0.74899,                 1.2326,                0.83592,                 0.7347,                0.81153,                0.47333,                 1.5471,                0.89498,                 1.6141,              0.0007055,              0.0007055,              0.0007055
                    134,                  1.181,                0.78384,                 1.2576,                 0.8558,                0.78551,                0.83593,                0.49088,                 1.4924,                0.84612,                 1.5849,             0.00070137,             0.00070137,             0.00070137
                    135,                 1.1522,                0.77701,                  1.222,                0.85716,                  0.725,                0.83461,                0.48858,                 1.4904,                0.86775,                 1.5919,             0.00069725,             0.00069725,             0.00069725
                    136,                 1.1762,                 0.7838,                 1.2394,                0.89039,                0.77586,                0.83726,                 0.4899,                 1.4889,                0.88043,                 1.5777,             0.00069313,             0.00069313,             0.00069313
                    137,                 1.1685,                0.76771,                 1.2517,                0.77251,                0.76043,                0.82078,                 0.4883,                 1.5033,                0.89322,                 1.6085,               0.000689,               0.000689,               0.000689
                    138,                 1.1709,                0.80809,                  1.247,                0.86555,                0.73592,                0.82314,                0.47677,                 1.5039,                0.87724,                 1.5909,             0.00068488,             0.00068488,             0.00068488
                    139,                 1.1808,                0.76495,                  1.258,                0.92641,                0.71072,                0.82405,                0.49148,                 1.4945,                 0.9287,                  1.587,             0.00068075,             0.00068075,             0.00068075
                    140,                 1.1545,                0.78975,                 1.2332,                 0.8345,                0.78021,                0.81419,                0.47996,                 1.5247,                 0.9137,                 1.6207,             0.00067663,             0.00067663,             0.00067663
                    141,                 1.1684,                0.78894,                 1.2382,                0.89246,                0.75799,                0.84101,                0.47244,                 1.5598,                0.87502,                 1.6455,              0.0006725,              0.0006725,              0.0006725
                    142,                 1.1438,                0.78281,                 1.2447,                0.82314,                0.80193,                0.83724,                0.49808,                 1.5363,                0.86959,                 1.6236,             0.00066838,             0.00066838,             0.00066838
